,,,SG-09 R,Sentinel Nine,Blacktail AC (SW),Red9,Blacktail,Matilda,red9 (SW),Punisher,Punisher MC (SW),Riot Gun,Striker,W-870,Skull Shaker,Sawed-off W870 (SW),TMP,TMP (SW),LE5,Chicago Sweeper,Chicago Sweeper (SW),SR M1093,SR M1093 (SW),Stingray,Stingray (SW),CQBR Assault,Broken Butterfly,Handcannon,Killer7,Combat Knife,Fighting Knife,Tactical Knife (SW),Primal Knife,Elite Knife (SW),Bolt Thrower,Blast Crossbow (SW)
damage,level 5,min,1.60,1.50,1.50,1.30,1.30,1.30,1.30,1.50,1.50,1.50,1.50,1.75,1.75,1.75,1.50,1.50,1.25,2.00,2.00,1.50,1.50,1.25,1.25,1.75,1.50,2.00,1.25,2.00,1.50,1.50,1.50,1.50,2.50,1.50
damage,level 5,max,3.50,3.50,3.50,2.78,2.75,2.75,2.75,4.00,4.00,2.75,2.75,3.25,3.25,3.25,3.25,3.25,2.50,4.00,4.00,3.50,3.50,2.50,2.50,3.50,2.75,3.50,2.50,4.00,2.75,3.00,3.00,3.00,4.00,2.00
damage,level 5 (high roller),min,3.50,3.50,3.50,2.78,2.75,2.75,2.75,4.00,4.00,2.75,2.75,3.25,3.25,3.25,3.25,3.25,2.50,4.00,4.00,3.50,3.50,2.50,2.50,3.50,2.75,3.50,2.50,4.00,3.00,3.00,3.00,3.00,4.00,2.00
damage,level 5 (high roller),max,4.50,4.50,4.50,3.78,3.75,3.75,3.75,4.75,4.75,3.50,3.50,4.25,4.25,4.25,4.25,4.25,3.00,5.00,5.00,4.25,4.25,3.00,3.00,4.25,3.50,4.25,3.00,5.00,4.00,4.00,4.00,4.00,4.75,3.00
ammo capacity,level 1,min,5,5,5,5,5,5,5,5,5,2,4,2,2,2,15,15,15,15,15,4,4,4,4,8,2,2,2,,,,,,3,
ammo capacity,level 1,max,10,10,10,10,10,10,10,10,10,8,10,8,8,8,40,40,40,40,40,8,8,8,8,16,6,6,6,,,,,,6,
ammo capacity,level 5,min,14,14,14,14,14,14,14,14,14,6,8,6,6,6,60,60,60,60,60,12,8,12,12,20,6,6,6,,,,,,12,
ammo capacity,level 5,max,20,20,20,20,20,20,20,20,20,12,14,12,12,16,120,120,120,120,120,20,16,20,20,30,12,12,12,,,,,,24,
ammo capacity,level 5 (high roller),min,20,20,20,20,20,20,20,20,20,12,14,12,12,12,120,120,120,120,120,20,16,20,20,30,12,12,12,,,,,,24,
ammo capacity,level 5 (high roller),max,40,40,40,40,40,40,40,40,40,24,28,24,24,24,240,240,240,240,240,30,32,30,30,50,32,32,32,,,,,,36,
critical rate,level 1,min,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
critical rate,level 1,max,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
critical rate,level 5,min,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
critical rate,level 5,max,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,25,25,25,25,25,20,20,20,20,20,20,20,20,20,
critical rate,level 5 (high roller),min,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,15,15,15,25,25,25,25,25,20,20,20,20,20,20,20,20,20,
critical rate,level 5 (high roller),max,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,25,25,25,25,50,50,50,50,50,30,30,30,30,30,30,30,30,30,
penetration,level 1,min,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,
penetration,level 1,max,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,
penetration,level 5,min,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
penetration,level 5,max,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
penetration,level 5 (high roller),min,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,
penetration,level 5 (high roller),max,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,
reload speed,level 1,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00
reload speed,level 1,max,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00
reload speed,level 5,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,2.00,1.00
reload speed,level 5,max,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,,4.00,2.00
reload speed,level 5 (high roller),min,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,,4.00,2.00
reload speed,level 5 (high roller),max,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,,,,,,8.00,4.00
fire rate,level 1,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,1.00,
fire rate,level 1,max,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,,,,,,1.00,
fire rate,level 5,min,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,,,,,,0.70,0.70,0.70,0.70,,0.70,0.70,0.70,,,,,,0.70,
fire rate,level 5,max,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,,,,,,0.40,0.40,0.40,0.40,,0.40,0.40,0.40,,,,,,0.40,
fire rate,level 5 (high roller),min,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,,,,,,0.40,0.40,0.40,0.40,,0.40,0.40,0.40,,,,,,0.40,
fire rate,level 5 (high roller),max,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,,,,,,0.40,0.40,0.10,0.10,,0.10,0.10,0.10,,,,,,0.10,
reload rounds,level 1,min,,,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,1,1,,,,,,,1,
reload rounds,level 1,max,,,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,1,1,,,,,,,1,
reload rounds,level 5,min,,,,,,,,,,1,1,1,1,1,,,,,,4,4,,,,2,2,,,,,,,5,
reload rounds,level 5,max,,,,,,,,,,6,6,6,6,6,,,,,,8,8,,,,6,6,,,,,,,10,
reload rounds,level 5 (high roller),min,,,,,,,,,,6,6,6,6,6,,,,,,8,8,,,,6,6,,,,,,,10,
reload rounds,level 5 (high roller),max,,,,,,,,,,12,12,12,12,12,,,,,,16,16,,,,12,12,,,,,,,20,
durability,level 1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,,,
durability,level 1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,,,
durability,level 5,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1600,,,
durability,level 5,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3600,3600,,,
durability,level 5 (high roller),min,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,3600,3600,3600,,,
durability,level 5 (high roller),max,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,6400,6400,6400,,,
power cost,level 1,,,,,,,,,,,,0,,,,,,,0,0,,,,,0,,0,,,,,0,,,
power cost,level 2,,,,,,,,,,,,17500,,,,,,,9000,9000,,,,,15000,,25000,,,,,12000,,,
power cost,level 3,,,,,,,,,,,,27500,,,,,,,20000,20000,,,,,25000,,36000,,,,,16000,,,
power cost,level 4,,,,,,,,,,,,47500,,,,,,,38000,38000,,,,,35000,,47000,,,,,24000,,,
power cost,level 5,,,,,,,,,,,,62500,,,,,,,56000,56000,,,,,50000,,60000,,,,,38000,,,
ammo capacity cost,level 1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
ammo capacity cost,level 2,,,,,,,,,,,,,,,,,,,7000,7000,,,,,,,,,,,,,,,
ammo capacity cost,level 3,,,,,,,,,,,,,,,,,,,15000,15000,,,,,,,,,,,,,,,
ammo capacity cost,level 4,,,,,,,,,,,,,,,,,,,24000,24000,,,,,,,,,,,,,,,
ammo capacity cost,level 5,,,,,,,,,,,,,,,,,,,36000,36000,,,,,,,,,,,,,,,
critical rate cost,level 1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critical rate cost,level 2,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
critical rate cost,level 3,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
critical rate cost,level 4,,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
critical rate cost,level 5,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
penetration cost,level 1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penetration cost,level 2,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
penetration cost,level 3,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
penetration cost,level 4,,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
penetration cost,level 5,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
reload speed cost,level 1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,
reload speed cost,level 2,,,,,,,,,,,,,,,,,,,10000,10000,,,,,,,10000,,,,,,,,
reload speed cost,level 3,,,,,,,,,,,,,,,,,,,12000,12000,,,,,,,13000,,,,,,,,
reload speed cost,level 4,,,,,,,,,,,,,,,,,,,14000,14000,,,,,,,16000,,,,,,,,
reload speed cost,level 5,,,,,,,,,,,,,,,,,,,16000,16000,,,,,,,19000,,,,,,,,
wince,level 1,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.60,1.50,1.50,1.00,1.00,1.00
wince,level 1,max,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,1.60,1.50,1.50,1.00,1.00,1.00
wince,level 5,min,1.70,1.70,2.40,1.70,1.70,1.70,1.70,2.30,2.44,1.60,1.66,2.50,2.50,1.60,1.40,1.40,1.70,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.80,2.90,2.80,2.80,1.50,2.00,1.69
wince,level 5,max,1.70,1.70,2.40,1.70,1.70,1.70,1.70,2.30,2.44,1.60,1.66,2.50,2.50,1.60,1.40,1.40,1.70,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.80,2.90,2.80,2.80,1.50,2.00,1.69
break,level 1,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,2.00,1.20,1.20,1.00,1.00,1.00
break,level 1,max,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,2.00,1.20,1.20,1.00,1.00,1.00
break,level 5,min,2.00,2.00,2.40,2.00,1.75,1.66,2.00,2.00,2.44,2.20,2.20,2.20,2.20,2.20,2.00,2.00,2.25,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.00,3.00,2.00,2.00,1.50,2.00,1.69
break,level 5,max,2.00,2.00,2.40,2.00,1.75,1.66,2.00,2.00,2.44,2.20,2.20,2.20,2.20,2.20,2.00,2.00,2.25,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.00,3.00,2.00,2.00,1.50,2.00,1.69
stopping,level 1,min,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,1.60,1.20,1.20,1.00,1.00,1.00
stopping,level 1,max,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.20,1.60,1.20,1.20,1.00,1.00,1.00
stopping,level 5,min,2.00,2.00,2.40,2.00,1.75,1.66,2.00,2.00,2.44,1.60,1.66,2.50,2.50,1.60,2.00,2.00,2.25,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.00,2.80,2.00,2.00,1.50,2.00,1.69
stopping,level 5,max,2.00,2.00,2.40,2.00,1.75,1.66,2.00,2.00,2.44,1.60,1.66,2.50,2.50,1.60,2.00,2.00,2.25,3.00,3.00,2.60,2.60,1.60,1.60,3.00,1.80,1.80,1.80,2.00,2.80,2.00,2.00,1.50,2.00,1.69
explosion radius scale,level 1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
explosion radius scale,level 1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
explosion radius scale,level 5,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00
explosion radius scale,level 5,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,2.00
explosion sensor radius scale,level 1,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00
explosion sensor radius scale,level 1,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00
explosion sensor radius scale,level 5,min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,0.00
explosion sensor radius scale,level 5,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,0.00
